EventId,EventTemplate,Occurrences
4d4fca85,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,40
b780997e,check pass; user unknown,117
891bd5b4,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,10
115d0538,session opened for user cyrus by (uid=0),43
fe6f65a7,session closed for user cyrus,43
a757c0c2,ALERT exited abnormally with [1],43
08a3a001,session opened for user news by (uid=0),43
70fd00b7,session closed for user news,43
d7779571,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,10
085b9acf,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,5
fc313d78,connection from <*> (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 <*> 2005,8
86922708,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*> user=guest,17
b2f9c7a5,session opened for user test by (uid=509),36
91b7ca30,session closed for user test,36
92228e90,connection from <*> (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 <*> 2005,7
998298a7,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,10
b278a9ab,connection from <*> (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 <*> 2005,15
57c497f6,User unknown timed out after 900 seconds at Sat Jun 18 <*> 2005,1
e05fcc23,cupsd shutdown succeeded,6
adc372d2,cupsd startup succeeded,6
6f97e9d4,restart.,7
e4b2322e,connection from <*> () at Mon Jun 20 <*> 2005,12
4f67b71e,Received SNMP packet(s) from <*>,1
5b4c39d8,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com user=root,23
20d372d2,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,10
424fc6cb,connection from <*> () at Wed Jun 22 <*> 2005,23
ed15dfad,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*> user=root,239
3d273a13,connection from <*> () at Fri Jun 24 <*> 2005,13
3bd77926,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,10
01aa7cfe,connection from <*> () at Sat Jun 25 <*> 2005,31
8c75c3f6,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=troi.bluesky-technologies.com user=root,5
2a6baf5e,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=62-192-102-94.dsl.easynet.nl user=root,10
ae928139,connection from <*> () at Wed Jun 29 <*> 2005,53
359c7d94,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=csnsu.nsuok.edu user=root,10
a4253f91,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=h64-187-1-131.gtconnect.net user=root,13
71a22689,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=biblioteka.wsi.edu.pl,8
f6e13a4d,Authentication failed from <*> (<*>): Permission denied in replay cache code,8
dea5ca56,Kerberos authentication failed,23
d9f1af4c,Authentication failed from <*> (<*>): Software caused connection abort,15
67140bf0,connection from <*> () at Fri Jul 1 <*> 2005,23
ae239afe,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=zummit.com,10
c994d965,connection from <*> (dsl-Chn-static-<*>.touchtelindia.net) at Sun Jul 3 <*> 2005,23
7fa01c27,connection from <*> (<*>.sh.interxion.inode.at) at Sun Jul 3 <*> 2005,23
f3188b49,connection from <*> (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul 4 <*> 2005,23
d291db2e,connection from <*> () at Tue Jul 5 <*> 2005,23
bc569fdc,connection from <*> () at Wed Jul 6 <*> 2005,23
1d16b745,*** info [mice.c(1766)]:,1
c80127b9,imps2: Auto-detected intellimouse PS/2,1
6f6a192c,session opened for user root by LOGIN(uid=0),1
e2234786,ROOT LOGIN ON tty2,1
3be46d32,session closed for user root,1
6adaa5ce,removing device node '/udev/vcsa2',2
08e6b3ed,removing device node '/udev/vcs2',2
585088cb,creating device node '/udev/vcs2',2
1f0f69ac,creating device node '/udev/vcsa2',2
f7ee1205,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=c9063558.virtua.com.br,4
cdc0acc3,connection from <*> () at Thu Jul 7 <*> 2005,31
8852b201,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*> user=test,4
9c1de555,connection from <*> () at Sat Jul 9 <*> 2005,64
362b104d,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=p15105218.pureserver.info user=root,10
c66fbe54,connection from <*> (host<*>.maximumasp.com) at Sat Jul 9 <*> 2005,23
2f8d1f63,connection from <*> () at Sun Jul 10 <*> 2005,46
7100d8e7,connection from <*> (dsl-082-083-227-067.arcor-ip.net) at Sun Jul 10 <*> 2005,23
c859bc91,authentication failure; logname= uid=0 euid=0 tty=:0 ruser= rhost=,1
03649f38,Couldn't authenticate user,1
78765fc9,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>.nw.nuvox.net user=root,10
91f7acbe,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=202-132-40-29.adsl.ttn.net user=root,8
00a6dd1d,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=c51471f2c.cable.wanadoo.nl user=root,10
7f16209f,connection from <*> () at Fri Jul 15 <*> 2005,22
be006e5c,connection from <*> () at Sat Jul 16 <*> 2005,23
61f9072c,connection from <*> (aml-sfh-3310b.adsl.wanadoo.nl) at Sun Jul 17 <*> 2005,32
7c6d7f17,connection from <*> () at Sun Jul 17 <*> 2005,32
7cc97ca3,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61-220-159-99.hinet-ip.hinet.net user=root,3
fcf97c6d,connection from <*> (host8.topspot.net) at Sun Jul 17 <*> 2005,46
723f01bd,connection from <*> (dsl-Chn-static-<*>.touchtelindia.net) at Sun Jul 17 <*> 2005,23
160b15a3,connection from <*> (82-68-222-194.dsl.in-addr.zen.co.uk) at Sun Jul 17 <*> 2005,23
8acbf25d,connection from <*> (82-68-222-195.dsl.in-addr.zen.co.uk) at Sun Jul 17 <*> 2005,23
9b94ef29,connection from <*> () at Mon Jul 18 <*> 2005,21
92d153f1,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-76-104-65.ebix.net.tw,10
fd94ee57,connection from <*> () at Thu Jul 21 <*> 2005,23
3744a1d7,connection from <*> () at Fri Jul 22 <*> 2005,46
9ce802ab,connection from <*> () at Sun Jul 24 <*> 2005,42
cedf9d0b,"ANONYMOUS FTP LOGIN FROM <*>, (anonymous)",2
e495a493,connection from <*> () at Mon Jul 25 <*> 2005,42
a82d5ea6,notify question section contains no SOA,16
ee259d46,getpeername (ftpd): Transport endpoint is not connected,4
9998416d,warning: can't get client address: Connection reset by peer,2
86f26e5b,connection from <*> () at Tue Jul 26 <*> 2005,23
